lat,lon,depth,time,Gephyrocapsa huxleyi HET,temperature,sio4,po4,no3,o2,DIC,TA,PAR
-63,172,0,1,119403,2.0179730339,23.1738398487,1.551113381,24.2255006273,328.5856772879,2137.7279025604,2279.3441876017,76.4480728148
-62,-170,10,12,2906,1.794110053,18.9358397362,1.4038301676,22.279236417,361.6698030614,2128.6413339605,2286.1289652418,31.7886424122
-62,-170,35,12,2199,1.2258438439,23.8537467213,1.6029597737,24.0671767727,361.0429949704,2137.5854585268,2288.2330643596,3.0178030762
-62,-170,60,12,846,0.7546415049,35.1447047589,1.9435208318,27.3655963166,338.830742147,2151.3218492138,2286.700702466,0.331243371
-62,-170,100,12,8630,0.3447572458,40.0610955402,2.075951358,29.0326952945,324.5805402806,2165.6756745887,2291.8920781978,0.0117103086
-62,-170,150,12,1018,0.7717287769,43.7108724368,2.1410305584,30.691589489,294.2463030784,2181.7638355228,2299.1476891226,0.0002179979
-62,-140,20,12,710,-0.0416874511,41.8814508818,1.791533729,24.8441049318,352.7937079399,2149.5562486854,2291.7353846823,15.7467907181
-62,-140,100,12,800,-0.9641555758,43.5120116168,1.8397072403,25.2505920956,343.9629464533,2177.7681375546,2301.4972801093,0.0354875713
-62,-68,5,2,61329,2.8016472842,14.9308840955,1.581492323,24.7166726308,333.4135654444,2127.13356897,2277.3359838479,44.0068927623
-62,-68,10,2,288986,2.9268319074,15.1775466824,1.5903658975,25.0943060891,332.9998961488,2129.1706257947,2279.3356229837,31.3172224514
-62,-68,50,2,181289,1.827880343,19.7048997186,1.7303245097,25.7774767328,335.4014257795,2149.6205860937,2293.308677674,2.1001346481
-62,-68,75,2,65706,0.3276221369,26.5230328021,1.853745025,27.7604848334,325.8212956631,2171.5127309512,2301.3176532511,0.3932350205
-62,-68,100,2,15749,-0.0852927796,31.9329881559,1.9999469633,29.3549735524,312.5376823241,2185.2474745489,2306.1292533185,0.0742237286
-62,-67,5,2,2982,2.6632401943,17.9698465765,1.5859965258,24.4237602339,335.2472611458,2128.1030393854,2278.9816397022,43.9987692047
-61,-170,20,12,104083,2.3619286635,13.6713475555,1.4492056095,22.2986261081,354.4304130165,2130.1610658761,2284.9583116507,12.7570751586
-61,-170,40,12,153939,1.8938139352,18.1818993878,1.6400669201,24.0401535942,351.8437495764,2135.3596711402,2285.2830271051,2.0523006261
-61,-170,60,12,37711,1.4902159457,26.066054972,1.8733037444,26.2837501891,337.7786982916,2143.124774987,2283.8407824403,0.3563346238
-61,-170,100,12,14251,1.0073725623,30.6459420315,1.9999021314,27.7633134325,328.9866307228,2154.9928166871,2287.5511162607,0.0127307166
-61,-170,150,12,17374,1.1068676044,33.4481421734,2.0448177908,29.1027618242,311.7284189028,2166.1539734314,2291.9844848001,0.0002439714
-61,-116,20,12,69592,3.2243606614,3.4948806113,1.5693980497,23.0278391322,326.6221593839,2128.3241601895,2282.8558507544,14.4871867583
-61,-116,40,12,69387,3.1344372885,4.4444455693,1.5834531045,20.6928149345,322.1978711547,2130.8858718004,2281.8057030186,2.7707120727
-61,-116,60,12,132744,2.9065857545,7.5442350833,1.6640492631,21.1626797616,322.1659319535,2133.5902684767,2282.5883155824,0.5626717875
-61,-116,100,12,77228,2.4044003909,23.1410193307,1.9332915034,23.8822369714,320.2151814736,2141.1445540887,2282.4314526412,0.0263437096
-61,-69,5,2,216317.666666667,3.7117542093,5.964122452,1.5623121054,24.069174482,325.4875925747,2120.477601269,2272.3774774802,46.8239081016
-61,-68,10,2,236584,3.6585310311,8.1867849349,1.5886178962,24.5785824565,327.1438084494,2122.3849617364,2274.4264342527,33.4630363695
-61,-68,50,2,76776,2.6384109284,11.6875067525,1.676473765,24.8672160074,333.0952931079,2137.8378397876,2285.8832127248,2.4386822353
-61,-68,100,2,86127,0.6483777518,22.1905996579,1.9222616677,28.1899780925,318.2282175586,2171.5480392133,2300.3000457534,0.095007571
-61,-68,175,2,5072,1.2987220044,36.6018373176,2.1398574196,31.6756453758,272.795794492,2187.1812988265,2302.4541134268,0.000768085
-61,-56,5,2,72340,1.5319387513,47.9945781743,1.6562943593,23.3712565161,333.6655832005,2162.4633144486,2305.2512959922,37.0216179503
-61,-55,50,2,457,0.6575086298,58.4152336771,1.8618148424,25.7418293468,320.0555396409,2181.7449820968,2311.30301097,0.6556619347
-61,-55,100,2,918,-0.1646206933,68.4517560086,2.0652338383,27.3126134509,295.4565732065,2210.0803193838,2323.1973621656,0.0115084959
-61,174,0,1,86970,4.0544587743,2.0711981236,1.5063780825,18.3609922207,313.4725631826,2120.6310326802,2275.4725488991,78.2817258902
-60,-172,10,12,312074,3.5100492754,7.3690664572,1.4569943898,21.806450841,338.9461321547,2123.5230106959,2282.3220410024,31.4548666198
-60,-172,20,12,269940,3.3574436814,8.1730343119,1.4881499757,22.0332604987,341.5299224615,2124.7505609463,2282.4801883415,11.5683359188
-60,-172,40,12,351038,2.9137638502,11.0258430105,1.6220383581,23.516717048,339.4585466648,2128.9052106856,2282.4203419033,1.6737402774
-60,-172,60,12,113604,2.4775989093,15.9017951227,1.7942188494,25.0339563943,326.9772653187,2135.423517596,2280.5612994392,0.2619838953
-60,-172,80,12,2669,2.0846648437,17.6812953404,1.8481592131,25.4143177162,326.9036272599,2140.8006082744,2281.7338301774,0.0438297309
-60,-172,100,12,10273,1.9458332284,18.6453396905,1.9085525699,25.8435855664,324.1753727463,2144.5655451674,2282.9631576106,0.0077539855
-60,-172,150,12,10724,1.7214991478,20.7335451138,1.8914796587,27.0144675581,318.3399774936,2153.2685569636,2285.2245108373,0.0001231793
-60,-69,5,2,272981,4.6277322515,2.2895932281,1.5068828284,22.7379668332,318.3859327308,2111.2447089174,2269.2724569887,47.798472163
-60,-69,10,2,70835,4.6859116985,2.5750872216,1.5379510383,23.4288316849,317.4173906002,2111.6765160635,2270.1553581783,34.5774198773
-60,-69,20,2,48459,4.6331989389,3.3751138218,1.5439038141,23.3763269775,317.7859211449,2113.3254890208,2272.5274872906,18.12054487
-60,-69,50,2,286268,3.897339651,4.8409461675,1.5851857105,23.6059517615,323.207215126,2122.6857870746,2278.3810440043,2.643403978
-60,-69,75,2,197742,2.6093059897,9.3403178362,1.71083286,25.1858418366,321.6295564678,2141.0000551423,2286.0719282083,0.5452282413
-60,-69,100,2,35585,1.9822055836,12.1267383337,1.8085443063,26.3580655689,317.6176647315,2153.0877836149,2291.3448515911,0.1195117669
-60,-56,5,2,7312,2.3237543945,34.1023359036,1.6327815991,24.1161772721,328.5979572364,2146.3731267103,2293.5973596006,41.0400698191
-60,-56,75,2,1383,0.4200269921,50.421733672,1.9604206259,26.7857252046,311.7161222492,2183.7174298603,2307.5434103158,0.2050245331
-60,-56,100,2,5847,0.1140139593,56.2517935201,2.0638140523,27.6201550634,298.4826412501,2198.4197280844,2313.6388302926,0.0346667548
-60,-34,15,2,102950,0.841574231,59.0546700664,1.6790277036,20.3553376377,346.4166101254,2156.616882462,2305.9132548256,16.2033745558
-59,-173,10,12,143669,4.2221385807,5.0440977716,1.4799211126,21.3902688728,326.3813883587,2117.8242473339,2280.517055122,35.0277021438
-59,-173,20,12,160748,4.1104323562,5.8733062217,1.5111237303,21.6503717317,329.3072278615,2118.7499040326,2280.6501814174,14.0218214643
-59,-173,40,12,196497,3.7260415933,7.2016465375,1.5944470971,22.8168915872,327.7468730757,2122.4012743667,2280.5705514375,2.3989344331
-59,-173,60,12,136050,3.2942740837,10.0379326628,1.7238781261,23.8418666928,316.7023867529,2128.7356512302,2278.7914391774,0.4413200451
-59,-173,80,12,51365,2.9274250259,11.1076753276,1.7525203357,23.9753238333,318.9463294988,2132.8333615851,2279.6496125915,0.086122672
-59,-173,100,12,6415,2.7947950659,11.5648021409,1.8277973085,24.3296441692,317.2756721627,2135.9440998825,2280.6912190185,0.0176533657
-59,-173,150,12,7343,2.4630255257,12.9264476835,1.7750148297,25.389911645,317.955135318,2143.0600761369,2282.1041765524,0.0003989352
-59,-136,20,12,119721,1.9021151425,24.5143626854,1.819695772,24.3281238815,332.7766934175,2141.9136587446,2289.0462277769,15.3136317083
-59,-136,40,12,125799,1.7185495473,24.4915590172,1.7873492126,24.9186804785,332.5555005364,2143.7423830009,2289.7797482838,3.0218385528
-59,-136,55,12,118219,1.5869131191,23.1405271267,1.7682310434,25.1431924666,331.115712749,2145.3909819129,2290.0504878525,0.9226836262
-59,-136,100,12,3962,1.0540905134,28.7411118306,1.8555403709,25.0832046283,329.7793304893,2154.7682638364,2293.0948927462,0.0295226739
-59,-69,5,2,232522,5.6461578331,0.704692672,1.4241021267,21.0362421855,310.2911015772,2101.8473787785,2266.8824244358,49.0704107531
-59,-69,10,2,430167,5.6722983974,0.965251557,1.4568348881,21.740466329,309.400226726,2101.9403147944,2267.3094670698,35.7262520722
-59,-69,50,2,271232,5.076342565,2.2158043406,1.4918312768,21.9416434777,312.7273054587,2110.4749738119,2273.5784644281,2.908367455
-59,-69,75,2,150140,4.0249106872,5.3456081992,1.6179726437,23.2690906567,312.1822951725,2124.0328464415,2277.8874276523,0.6421244129
-59,-69,100,2,13834,3.3510957673,7.0446364834,1.7016198922,24.4163322527,310.7410833743,2135.322997726,2282.0566436034,0.1615239875
-59,-57,5,2,49062.5,3.3501755585,18.5536940538,1.5725583567,23.8205340637,323.9755123743,2129.247654004,2281.4712859609,43.6476100215
-59,-57,50,2,676,2.3803678811,26.7891828639,1.7219401284,24.8036501638,323.242123723,2141.8032288658,2286.4651675467,1.5313054679
-59,-57,100,2,105526,0.6208942087,41.6373386999,2.0107266141,27.4057480339,303.0382351916,2182.681527667,2303.4797539963,0.0489108954
-59,174,0,1,138620,5.7511236773,0.1001438662,1.4558512754,14.9188511383,300.7804907201,2108.4482734452,2276.2130144344,85.0276486467
-58,-175,20,12,71396,4.9266540287,3.7904190422,1.4948413121,20.5995069431,315.1129264094,2113.1611423549,2279.4881216583,18.1347688939
-58,-175,40,12,76434,4.6175685176,3.7104630526,1.5254134049,21.5803335007,313.3180722297,2115.8235119259,2279.3601914742,3.7803541258
-58,-175,60,12,65378,4.1977398491,4.9886993906,1.6221646557,22.0075524783,304.1294873208,2122.0677437905,2277.7497099659,0.8326670612
-58,-175,80,12,83536,3.8530833165,5.6480093955,1.6334625229,22.0480427267,308.091704381,2125.3134557089,2278.4743177207,0.1919459414
-58,-175,150,12,2560,3.4236774489,6.6063332876,1.6216334298,23.4553039392,311.3766517937,2133.6549654752,2280.6624415889,0.0014678091
-58,-152,60,12,982,1.2088362457,41.4710776492,1.8690502716,25.4261866033,329.1512878437,2155.9420258726,2296.9217245879,0.7828168401
-58,-152,100,12,1022,0.5736457486,50.3857317723,1.7824232372,27.0024329932,324.2923495921,2167.1437924321,2299.8058470747,0.0415396547
-58,-136,20,12,266969,2.6896469844,19.4327048635,1.7615665942,23.0047347481,327.1322024713,2133.6647071953,2286.0080750257,15.6146423226
-58,-136,40,12,301837,2.5102222918,19.7118741773,1.754080428,23.6376887683,326.5550264422,2135.2651584835,2286.4764155407,3.1408366808
-58,-136,55,12,155025,2.3908707579,18.7439386825,1.7354989516,24.1026860771,324.7212551704,2136.9930069735,2286.5224029073,0.9760188783
-58,-136,100,12,9644,1.8564096837,25.1114959614,1.8290669258,24.3716816637,323.1684406605,2145.8093055735,2288.6140193602,0.0332119894
-58,-136,150,12,1975,1.5563693354,31.0197078698,1.8163456168,26.3379792895,328.0378645216,2157.2610570868,2290.6949472551,0.0009082397
-58,-92,10,12,56701,5.3185992695,5.2677306935,1.3147871827,21.221575642,311.1106549537,2114.0806456163,2276.8704447522,41.5783326429
-58,-92,20,12,22423,5.290132605,5.0604391648,1.3309562632,21.2371203225,309.5936750889,2114.3822157463,2276.9839184973,18.4139079688
-58,-92,40,12,24962,5.1361128004,5.2035535203,1.3891498506,21.4743564735,307.9949638451,2115.3516100392,2277.789293715,3.8650766217
-58,-92,60,12,36883,5.0360796301,7.4859587976,1.4895878677,21.8984805722,302.5790316924,2116.4523811726,2276.3818613281,0.8719683155
-58,-92,75,12,25431,4.9961545521,10.0459666242,1.484737892,21.8312759047,301.8230118947,2116.9409068501,2276.4541773572,0.2961647289
-58,-92,100,12,2376,4.7289473578,8.7585195491,1.4763221437,21.9352675324,301.7896575111,2120.4460998417,2277.328931853,0.05171683
-58,-92,150,12,38520,4.4666547959,15.8227217112,1.5373193496,23.8346400795,291.0530094964,2123.5492791906,2278.4365685982,0.0018319894
-58,-69,5,2,65490.5,6.723986129,0.4509573725,1.3278874249,19.1489808854,301.6084179049,2091.9923820871,2264.4414361317,50.1358326452
-58,-69,50,2,39478,6.381850617,0.8996801656,1.371255856,19.9809841752,300.5010037763,2098.603857451,2269.745724414,3.0231545081
-58,-69,75,2,70407,5.6201020756,2.1975494163,1.4892740183,20.9728990366,300.0190033123,2108.7595758579,2272.7954096084,0.6551406077
-58,-69,100,2,28002,4.9097816024,2.962760767,1.5718853322,22.1250715378,300.3813608699,2118.008133638,2275.0141317001,0.1468168272
-58,-58,5,2,137401,4.374425788,8.2584438014,1.5020732721,23.0749802581,318.2537309595,2116.2212149777,2274.6207038898,48.0577650344
-58,-57,5,2,30137,4.1957832064,10.7094705512,1.5118207354,23.5044057623,317.9616094363,2118.3407898174,2275.5415518463,47.2394102179
-58,-57,50,2,7403,3.297614752,17.1862367109,1.6411194866,24.2416921693,319.0767920321,2128.8534991617,2279.1894776367,2.2211310594
-58,-57,100,2,32447,1.4231638759,30.5563127202,1.9085972017,26.669471424,304.9581104936,2167.1586823755,2294.9268919062,0.0891529674
-58,-26,15,2,2390,1.1149834399,45.4016932764,1.2559432689,20.4249594103,350.885235735,2150.2856907515,2300.3769748082,11.8366430333
-58,-19,0,3,50900,0.9482216202,43.7187696645,1.5799624621,21.165914985,336.8178503097,2156.3980927308,2290.1274521862,33.7859094542
-58,174,0,1,33903,6.4100822395,0.2051427295,1.4019817967,14.6449573771,295.4052497633,2104.8667065467,2277.3455314008,87.1556022739
-57,-153,20,12,153684,3.073503004,31.2844778872,1.8122487725,23.2040039253,321.4814497458,2130.9091064213,2284.3531913694,15.6773117084
-57,-153,40,12,72857,2.7771840816,27.5142945111,1.8665002344,23.5521861749,322.0665273253,2133.8792222108,2285.5915723236,3.1237990944
-57,-153,60,12,76161,2.2899653134,29.4720256201,1.881695079,23.901153812,319.4587813866,2140.6259794926,2287.2887088166,0.6859278769
-57,-153,100,12,10479,1.6559781383,38.9992291212,1.7638701195,25.881865098,314.3527729887,2150.5921856034,2290.5186100447,0.0415777817
-57,-153,150,12,6254,1.5284644822,37.6879435284,1.920620916,27.1003230828,324.2117366711,2154.1773734797,2295.8616330404,0.0027532533
-57,-116,20,12,482393,5.5984811222,2.6344193734,1.4165792636,20.4774280365,321.1863401895,2105.4502415072,2283.0501879069,20.9645726552
-57,-116,40,12,313550,5.5030691628,6.241555247,1.485599227,20.4861839063,310.5642709908,2109.5107738637,2280.9636908727,5.075921019
-57,-116,60,12,371436,5.2356511179,7.0051574851,1.4845967124,20.8074887058,309.5870968037,2113.0839709123,2280.9192448461,1.2665844454
-57,-116,100,12,113354,4.7642074866,10.7925477655,1.6335059543,21.8169304007,306.3096419715,2118.1761837825,2280.9675918245,0.086020655
-57,-97,10,12,29807,5.8653009166,5.1383993187,1.3880805153,20.6725194207,306.7610159877,2108.4935834477,2276.592161305,43.7533891311
-57,-97,20,12,62054,5.8437262719,4.6526128719,1.3905004106,20.6669915385,306.4162518841,2108.7933220747,2277.0067493947,20.6010212249
-57,-97,40,12,70976,5.6228976315,4.8661872019,1.4117370412,20.9284522416,305.3419883302,2110.9157615296,2277.1863603489,4.7762597353
-57,-97,60,12,33314,5.4248999477,6.5612834677,1.4858757846,21.4132659381,301.4407903159,2112.8378708012,2276.5801301907,1.1629133001
-57,-97,100,12,8444,5.0773911725,9.4919394882,1.4814102936,21.1077261966,302.3702166762,2117.43737007,2276.8753632039,0.0812831435
-57,-69,5,2,21626,7.8722960285,0.8359629663,1.223973039,17.1559891657,292.4190334256,2081.161950526,2262.1558194707,48.5010183728
-57,-69,10,2,24803,7.8752588102,0.9289705496,1.2070651236,17.4773367741,291.9617643856,2081.206739986,2262.58030234,33.9883273551
-57,-69,50,2,17236.5,7.5991963155,0.5548395762,1.2356593516,17.7886551768,288.9668159598,2088.1262491293,2266.755454264,2.2158566248
-57,-69,100,2,5681.5,6.4012063989,0.8766595643,1.4280199753,19.7439054662,289.6966259921,2103.9382493384,2271.2884397924,0.0871999673
-57,-68,5,2,7345,7.8289547094,0.7937759913,1.2511625694,17.6093933281,294.2995360274,2081.4357413545,2263.03210966,47.8583769658
-57,-58,5,2,187686.5,5.2268137788,4.3154346013,1.426771089,22.0776787257,311.2120955697,2108.1895774002,2271.955011201,51.0715524727
-57,-58,10,2,260498,5.2018664005,5.0063136637,1.4156723501,21.3904864312,309.8635691612,2108.3730831817,2271.9699940875,36.9837674158
-57,-58,50,2,141846,4.4469225041,8.3217931986,1.531821303,22.5721638367,311.4440033513,2116.8346570227,2274.2667295286,2.9042943795
-57,-58,100,2,135538,2.6786064497,18.4803599435,1.7687928823,25.0633466997,303.4185002885,2147.5533143085,2284.5145533624,0.1363674754
-57,-16,0,3,90400,1.0023713013,18.4774698266,1.5024645562,19.4036040476,334.2775030559,2151.4220478468,2287.3609551527,36.0255796171
-57,57,0,2,161690,2.5120778489,23.1666190722,1.734238482,26.6061803486,330.9002967342,2140.6991562036,2294.4494713839,65.8967456184
-57,57,20,2,144150,2.3739302457,21.1362254667,1.7466154121,25.4925920224,331.0381323225,2143.1387210583,2292.2133070129,18.5237995751
-57,57,40,2,275723,2.3900463503,21.4203406846,1.7255726985,25.8756014443,330.5395266841,2143.3471568678,2292.0953724813,5.2615263794
-57,57,60,2,20409,2.1910360634,21.4952197382,1.739179538,25.7935885505,331.2989194163,2145.7951591504,2292.8867971934,1.5090714413
-57,57,80,2,124495,1.7399094138,34.4702681995,1.7876440858,25.929597885,325.2270225218,2154.6807984413,2295.112779244,0.4367750961
-57,57,110,2,1485,0.8299304892,32.3410638883,1.8790414722,27.2197718507,333.1631071996,2172.2278147341,2297.9942225339,0.0690992146
-56,-59,5,2,85562.6666666667,6.1903586334,2.0724595565,1.3505915079,19.9877856124,304.0167651348,2099.519280037,2270.0052202842,52.4122814275
-56,-59,50,2,2111,5.5518901876,4.0808368014,1.4423350427,20.4944575845,301.990668552,2107.2103876083,2271.3358531712,2.6482609139
-56,-59,100,2,457,4.0550568818,10.3669933177,1.6501199853,23.2530769959,297.6911293295,2128.8319406964,2276.1821526238,0.1207382731
-56,-58,10,2,82359,6.0406451396,2.9672432657,1.3367159955,19.8508306023,301.9852124393,2101.529845352,2271.0501353006,37.7075173424
-56,-13,0,3,166600,1.3326975089,12.8028465711,1.435329836,18.9387648034,331.9848878614,2144.7990018965,2286.7088075537,37.6819008956
-56,174,0,1,42824.5,7.4296353596,1.1765045344,1.2393296202,15.8785184121,287.9863033902,2099.6003903242,2279.5985254174,92.7302703569
-55,-155,20,12,388761,5.5369547932,14.9338352029,1.608028209,19.3149494714,305.9996402848,2110.0511891736,2278.9601980441,19.1011954347
-55,-155,50,12,33277,5.1822566538,8.8435560301,1.6935542295,19.7175825615,304.2178935378,2113.4428824028,2279.4409069107,2.1279899088
-55,-155,65,12,15531,4.8229309956,16.2697121207,1.8043976624,22.432758803,302.5493511603,2117.0735931887,2279.7375507119,0.752774718
-55,-155,100,12,5311,4.3415738928,17.6921726816,1.5874272217,22.4635590894,297.6710229288,2122.265751893,2281.4113795172,0.0745523694
-55,-155,150,12,1301,3.946237717,16.4709639412,1.7189989762,22.9662308386,320.6151681677,2119.2629064219,2287.8976671899,0.0033384327
-55,-126,10,12,17783,6.6292113136,3.1016593503,1.2257289473,17.1386442382,306.2165203282,2100.4091851548,2283.5283597579,39.7820466713
-55,-126,20,12,31105,6.5482978085,3.0728842909,1.2268616399,17.1657272262,305.9374661104,2101.4476875117,2283.5165421878,18.46599251
-55,-126,40,12,36204,6.3350310987,3.2063455452,1.238253383,17.2792372714,306.0199025,2102.90244608,2283.7351277613,4.1838941541
-55,-126,60,12,11930,6.0293290422,3.4574881382,1.2600268451,17.468214777,302.700890304,2106.4499232053,2283.3307520765,1.0006474485
-55,-126,100,12,1851,5.5166493919,4.1233382744,1.309433262,17.8408476376,298.7615344086,2114.0124737973,2282.9145579242,0.0645333775
-55,-81,10,12,60425,6.6308546764,3.2505314258,1.3510663089,18.5378695969,307.3436344029,2098.0566227287,2266.9805869232,48.7112439284
-55,-81,20,12,30421,6.5688430759,3.3995860717,1.3320188498,18.575689324,307.2994256175,2098.8381984769,2267.0079875356,23.930295751
-55,-81,40,12,52838,6.5574347933,3.35855833,1.3537682059,18.6392193208,306.5572120548,2099.9948225533,2267.5453707926,6.0753345049
-55,-81,75,12,16756,6.0327435127,5.6298018547,1.5151684326,20.0330780492,300.0367473528,2106.4271292813,2267.9362114631,0.6202531931
-55,-59,5,2,55372,6.9425499359,1.5634771079,1.2735871526,17.9835636177,296.8634675244,2093.3117085984,2269.9949616682,51.6635898211
-55,74,20,3,131500,2.6073554207,10.167943051,1.6960853566,25.1914889433,331.8535958721,2138.9039909584,2289.3542646229,12.6064856588
-55,88,15,3,105740,3.2378255001,13.6932208324,1.5068652512,24.1444168543,320.2609686009,2131.3556122407,2281.4866724993,16.2533192529
-54,-119,20,12,146078,6.9137885887,1.363979205,1.2283836552,17.4463702624,311.9313919831,2093.9042677304,2283.2376270119,22.1066120374
-54,-119,40,12,138983,6.6028755825,2.3617742922,1.2758199489,17.6490143381,309.728702904,2097.9180447849,2283.0608546851,5.3628437053
-54,-119,60,12,124264,6.1964027944,3.491467061,1.3112762561,17.9447057582,307.3505154977,2103.1959185536,2282.857961011,1.356253457
-54,-119,100,12,3298,5.6914475516,5.5352660017,1.4363000509,18.9025287191,294.1438887408,2114.1104315558,2281.48715288,0.0952102709
-54,-59,5,2,156582.5,7.6028462051,1.3722504196,1.194530147,15.9773195076,289.7639768458,2088.3895423057,2271.2662900826,51.219076605
-54,-59,25,2,177885,7.4371232455,1.897359407,1.2651331233,16.9889039715,284.6662185842,2091.0902263539,2271.6833368233,7.9775595314
-54,-59,50,2,253905,7.090569853,1.7906871569,1.291819779,17.8486343281,284.8038824263,2096.2202173543,2270.9814452825,0.8515986663
-54,-59,75,2,64894,6.5754695258,2.2084719208,1.4486751,19.9993695768,282.7048928828,2103.232981323,2272.1989475125,0.0985686167
-54,-59,100,2,18362,6.0103609911,3.2981487773,1.5327553886,21.4347913307,283.390861718,2109.3634486868,2272.5727978705,0.0124148897
-54,-18,10,2,28160,2.9599594617,0.748107411,1.3257931787,19.639027941,336.2630711718,2119.3734469908,2288.076018814,25.3121104526
-54,-10,0,3,141700,2.1650960563,18.1417848307,1.4662014406,21.5000663623,334.9084461382,2129.6254487526,2285.1373102824,42.3928312217
-54,-7,0,3,155000,2.0638049021,34.8063860912,1.5826869426,24.9524039357,342.4046476439,2131.4664685058,2284.2078867201,42.6538247807
-54,174,0,1,52678,8.2529469581,2.0239590286,1.0514307314,15.7564892538,286.3058523616,2093.0161279879,2281.4088126533,97.4583418521
-53,-180,20,12,140196,7.8187590982,2.8361545066,1.1366274328,12.6840110727,291.357277141,2094.0612231077,2282.2964935289,23.7971506466
-53,-180,45,12,185490,7.4591488012,2.9824360763,1.1925012186,14.8883389032,294.6422532905,2097.2488123225,2282.3652273962,4.0620130883
-53,-180,60,12,204541,7.1833867509,3.2741995685,1.2130775565,13.6418465862,291.4119107382,2101.1346619205,2281.9821198616,1.4495306684
-53,-180,100,12,18537,6.6069025053,2.3880659941,1.1147071337,14.2538682389,291.6508341791,2107.6288256008,2282.1532831201,0.1017507968
-53,-180,150,12,1866,6.304086916,4.0021275179,1.0987120843,14.9826038988,290.7744639294,2111.7012640549,2282.3029392061,0.0042747983
-53,-5,0,3,17000,2.3752289642,31.706789868,1.6200167356,26.2263241851,342.9455543745,2129.479654181,2282.3186577187,44.9240492523
-53,-4,0,3,215100,2.3476590032,31.7450920702,1.621221137,26.2388674405,341.9693233246,2131.0940715267,2282.5354538343,45.2088670407
-53,57,0,2,361455,3.7998948904,11.0382928144,1.5877569589,24.1009444882,323.4945499825,2128.4777726823,2287.348431986,69.6432096626
-53,57,20,2,325144,3.7755487329,9.4494855983,1.6313158634,23.9221954304,318.1059794345,2128.8260016271,2287.072640345,18.3797778934
-53,57,40,2,314328,3.7516512083,9.574606528,1.5777960006,24.2629099816,320.3025362151,2128.7418818775,2287.325156531,4.9219174047
-53,57,60,2,63409,3.7145450438,11.7223833443,1.6128250663,24.7304236948,318.144830791,2129.7181746735,2286.4802005156,1.3360832936
-53,57,80,2,153371,3.6538231682,19.7462587344,1.6460756042,25.0295334667,307.5619290804,2133.7473072591,2283.3649790613,0.3673428564
-53,57,110,2,61914,2.7825161838,16.029961795,1.7932893563,25.642252592,305.2139824412,2145.9917527483,2285.7695681005,0.0541553016
-52,-58,5,10,39338,,,,,,,,
-52,-58,20,10,18156,,,,,,,,
-52,-58,40,10,10591,,,,,,,,
-52,-57,15,1,242370,8.0408423041,2.5704971621,0.9284935841,16.02111184,303.9660410857,2084.0363747511,2278.6034164009,24.1170372716
-52,-38,10,1,564690,4.1928561797,3.5264661643,1.3202573101,19.612102099,338.2299027293,2110.5323449693,2287.870913167,28.7205689035
-52,-3,0,3,440400,3.0113558685,21.9832093858,1.5713098258,25.1706297351,335.813582527,2125.4751020929,2279.5300775431,46.3580769252
-52,175,0,1,8866,8.9716907217,2.1311640466,0.7934514195,14.1471140275,286.4941427953,2084.9316555684,2282.0449641738,99.572273167
-51,-58,5,4,1500,7.1656999597,1.8310314994,1.4512298706,11.8708343394,289.6499176323,2087.9127966772,2263.2588972887,20.0503575905
-51,-58,5,10,63540,4.9183900342,2.811120037,1.6331828239,15.4958539084,301.836151123,2109.8159051835,2268.075718717,43.9074318953
